ID;Survived;PClass;Name;Sex;Age;SibSp;Parch;Fare;Embarked
351;No;3;Odahl, Mr. Nils Martin;Male;23;0;0;9,225;S
352;No;1;Williams-Lambert, Mr. Fletcher Fellows;Male;NA;0;0;35;S
353;No;3;Elias, Mr. Tannous;Male;15;1;1;7,2292;C
354;No;3;Arnold-Franchi, Mr. Josef;Male;25;1;0;17,8;S
355;No;3;Yousif, Mr. Wazli;Male;NA;0;0;7,225;C
356;No;3;Vanden Steen, Mr. Leo Peter;Male;28;0;0;9,5;S
357;Yes;1;Bowerman, Miss. Elsie Edith;Female;22;0;1;55;S
358;No;2;Funk, Miss. Annie Clemmer;Female;38;0;0;13;S
359;Yes;3;McGovern, Miss. Mary;Female;NA;0;0;7,8792;Q
360;Yes;3;Mockler, Miss. Helen Mary "Ellie";Female;NA;0;0;7,8792;Q
361;No;3;Skoog, Mr. Wilhelm;Male;40;1;4;27,9;S
362;No;2;del Carlo, Mr. Sebastiano;Male;29;1;0;27,7208;C
363;No;3;Barbara, Mrs. (Catherine David);Female;45;0;1;14,4542;C
364;No;3;Asim, Mr. Adola;Male;35;0;0;7,05;S
365;No;3;O'Brien, Mr. Thomas;Male;NA;1;0;15,5;Q
366;No;3;Adahl, Mr. Mauritz Nils Martin;Male;30;0;0;7,25;S
367;Yes;1;Warren, Mrs. Frank Manley (Anna Sophia Atkinson);Female;60;1;0;75,25;C
368;Yes;3;Moussa, Mrs. (Mantoura Boulos);Female;NA;0;0;7,2292;C
369;Yes;3;Jermyn, Miss. Annie;Female;NA;0;0;7,75;Q
370;Yes;1;Aubart, Mme. Leontine Pauline;Female;24;0;0;69,3;C
371;Yes;1;Harder, Mr. George Achilles;Male;25;1;0;55,4417;C
372;No;3;Wiklund, Mr. Jakob Alfred;Male;18;1;0;6,4958;S
373;No;3;Beavan, Mr. William Thomas;Male;19;0;0;8,05;S
374;No;1;Ringhini, Mr. Sante;Male;22;0;0;135,6333;C
375;No;3;Palsson, Miss. Stina Viola;Female;3;3;1;21,075;S
376;Yes;1;Meyer, Mrs. Edgar Joseph (Leila Saks);Female;NA;1;0;82,1708;C
377;Yes;3;Landergren, Miss. Aurora Adelia;Female;22;0;0;7,25;S
378;No;1;Widener, Mr. Harry Elkins;Male;27;0;2;211,5;C
379;No;3;Betros, Mr. Tannous;Male;20;0;0;4,0125;C
380;No;3;Gustafsson, Mr. Karl Gideon;Male;19;0;0;7,775;S
381;Yes;1;Bidois, Miss. Rosalie;Female;42;0;0;227,525;C
382;Yes;3;Nakid, Miss. Maria ("Mary");Female;1;0;2;15,7417;C
383;No;3;Tikkanen, Mr. Juho;Male;32;0;0;7,925;S
384;Yes;1;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);Female;35;1;0;52;S
385;No;3;Plotcharsky, Mr. Vasil;Male;NA;0;0;7,8958;S
386;No;2;Davies, Mr. Charles Henry;Male;18;0;0;73,5;S
387;No;3;Goodwin, Master. Sidney Leonard;Male;1;5;2;46,9;S
388;Yes;2;Buss, Miss. Kate;Female;36;0;0;13;S
389;No;3;Sadlier, Mr. Matthew;Male;NA;0;0;7,7292;Q
390;Yes;2;Lehmann, Miss. Bertha;Female;17;0;0;12;C
391;Yes;1;Carter, Mr. William Ernest;Male;36;1;2;120;S
392;Yes;3;Jansson, Mr. Carl Olof;Male;21;0;0;7,7958;S
393;No;3;Gustafsson, Mr. Johan Birger;Male;28;2;0;7,925;S
394;Yes;1;Newell, Miss. Marjorie;Female;23;1;0;113,275;C
395;Yes;3;Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson);Female;24;0;2;16,7;S
396;No;3;Johansson, Mr. Erik;Male;22;0;0;7,7958;S
397;No;3;Olsson, Miss. Elina;Female;31;0;0;7,8542;S
398;No;2;McKane, Mr. Peter David;Male;46;0;0;26;S
399;No;2;Pain, Dr. Alfred;Male;23;0;0;10,5;S
400;Yes;2;Trout, Mrs. William H (Jessie L);Female;28;0;0;12,65;S
401;Yes;3;Niskanen, Mr. Juha;Male;39;0;0;7,925;S
402;No;3;Adams, Mr. John;Male;26;0;0;8,05;S
403;No;3;Jussila, Miss. Mari Aina;Female;21;1;0;9,825;S
404;No;3;Hakkarainen, Mr. Pekka Pietari;Male;28;1;0;15,85;S
405;No;3;Oreskovic, Miss. Marija;Female;20;0;0;8,6625;S
406;No;2;Gale, Mr. Shadrach;Male;34;1;0;21;S
407;No;3;Widegren, Mr. Carl/Charles Peter;Male;51;0;0;7,75;S
408;Yes;2;Richards, Master. William Rowe;Male;3;1;1;18,75;S
409;No;3;Birkeland, Mr. Hans Martin Monsen;Male;21;0;0;7,775;S
410;No;3;Lefebre, Miss. Ida;Female;NA;3;1;25,4667;S
411;No;3;Sdycoff, Mr. Todor;Male;NA;0;0;7,8958;S
412;No;3;Hart, Mr. Henry;Male;NA;0;0;6,8583;Q
413;Yes;1;Minahan, Miss. Daisy E;Female;33;1;0;90;Q
414;No;2;Cunningham, Mr. Alfred Fleming;Male;NA;0;0;0;S
415;Yes;3;Sundman, Mr. Johan Julian;Male;44;0;0;7,925;S
416;No;3;Meek, Mrs. Thomas (Annie Louise Rowley);Female;NA;0;0;8,05;S
417;Yes;2;Drew, Mrs. James Vivian (Lulu Thorne Christian);Female;34;1;1;32,5;S
418;Yes;2;Silven, Miss. Lyyli Karoliina;Female;18;0;2;13;S
419;No;2;Matthews, Mr. William John;Male;30;0;0;13;S
420;No;3;Van Impe, Miss. Catharina;Female;10;0;2;24,15;S
421;No;3;Gheorgheff, Mr. Stanio;Male;NA;0;0;7,8958;C
422;No;3;Charters, Mr. David;Male;21;0;0;7,7333;Q
423;No;3;Zimmerman, Mr. Leo;Male;29;0;0;7,875;S
424;No;3;Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren);Female;28;1;1;14,4;S
425;No;3;Rosblom, Mr. Viktor Richard;Male;18;1;1;20,2125;S
426;No;3;Wiseman, Mr. Phillippe;Male;NA;0;0;7,25;S
427;Yes;2;Clarke, Mrs. Charles V (Ada Maria Winfield);Female;28;1;0;26;S
428;Yes;2;Phillips, Miss. Kate Florence ("Mrs Kate Louise Phillips Marshall");Female;19;0;0;26;S
429;No;3;Flynn, Mr. James;Male;NA;0;0;7,75;Q
430;Yes;3;Pickard, Mr. Berk (Berk Trembisky);Male;32;0;0;8,05;S
431;Yes;1;Bjornstrom-Steffansson, Mr. Mauritz Hakan;Male;28;0;0;26,55;S
432;Yes;3;Thorneycroft, Mrs. Percival (Florence Kate White);Female;NA;1;0;16,1;S
433;Yes;2;Louch, Mrs. Charles Alexander (Alice Adelaide Slow);Female;42;1;0;26;S
434;No;3;Kallio, Mr. Nikolai Erland;Male;17;0;0;7,125;S
435;No;1;Silvey, Mr. William Baird;Male;50;1;0;55,9;S
436;Yes;1;Carter, Miss. Lucile Polk;Female;14;1;2;120;S
437;No;3;Ford, Miss. Doolina Margaret "Daisy";Female;21;2;2;34,375;S
438;Yes;2;Richards, Mrs. Sidney (Emily Hocking);Female;24;2;3;18,75;S
439;No;1;Fortune, Mr. Mark;Male;64;1;4;263;S
440;No;2;Kvillner, Mr. Johan Henrik Johannesson;Male;31;0;0;10,5;S
441;Yes;2;Hart, Mrs. Benjamin (Esther Ada Bloomfield);Female;45;1;1;26,25;S
442;No;3;Hampe, Mr. Leon;Male;20;0;0;9,5;S
443;No;3;Petterson, Mr. Johan Emil;Male;25;1;0;7,775;S
444;Yes;2;Reynaldo, Ms. Encarnacion;Female;28;0;0;13;S
445;Yes;3;Johannesen-Bratthammer, Mr. Bernt;Male;NA;0;0;8,1125;S
446;Yes;1;Dodge, Master. Washington;Male;4;0;2;81,8583;S
447;Yes;2;Mellinger, Miss. Madeleine Violet;Female;13;0;1;19,5;S
448;Yes;1;Seward, Mr. Frederic Kimber;Male;34;0;0;26,55;S
449;Yes;3;Baclini, Miss. Marie Catherine;Female;5;2;1;19,2583;C
450;Yes;1;Peuchen, Major. Arthur Godfrey;Male;52;0;0;30,5;S
451;No;2;West, Mr. Edwy Arthur;Male;36;1;2;27,75;S
452;No;3;Hagland, Mr. Ingvald Olai Olsen;Male;NA;1;0;19,9667;S
453;No;1;Foreman, Mr. Benjamin Laventall;Male;30;0;0;27,75;C
454;Yes;1;Goldenberg, Mr. Samuel L;Male;49;1;0;89,1042;C
455;No;3;Peduzzi, Mr. Joseph;Male;NA;0;0;8,05;S
456;Yes;3;Jalsevac, Mr. Ivan;Male;29;0;0;7,8958;C
457;No;1;Millet, Mr. Francis Davis;Male;65;0;0;26,55;S
458;Yes;1;Kenyon, Mrs. Frederick R (Marion);Female;NA;1;0;51,8625;S
459;Yes;2;Toomey, Miss. Ellen;Female;50;0;0;10,5;S
460;No;3;O'Connor, Mr. Maurice;Male;NA;0;0;7,75;Q
461;Yes;1;Anderson, Mr. Harry;Male;48;0;0;26,55;S
462;No;3;Morley, Mr. William;Male;34;0;0;8,05;S
463;No;1;Gee, Mr. Arthur H;Male;47;0;0;38,5;S
464;No;2;Milling, Mr. Jacob Christian;Male;48;0;0;13;S
465;No;3;Maisner, Mr. Simon;Male;NA;0;0;8,05;S
466;No;3;Goncalves, Mr. Manuel Estanslas;Male;38;0;0;7,05;S
467;No;2;Campbell, Mr. William;Male;NA;0;0;0;S
468;No;1;Smart, Mr. John Montgomery;Male;56;0;0;26,55;S
469;No;3;Scanlan, Mr. James;Male;NA;0;0;7,725;Q
470;Yes;3;Baclini, Miss. Helene Barbara;Female;0,75;2;1;19,2583;C
471;No;3;Keefe, Mr. Arthur;Male;NA;0;0;7,25;S
472;No;3;Cacic, Mr. Luka;Male;38;0;0;8,6625;S
473;Yes;2;West, Mrs. Edwy Arthur (Ada Mary Worth);Female;33;1;2;27,75;S
474;Yes;2;Jerwan, Mrs. Amin S (Marie Marthe Thuillard);Female;23;0;0;13,7917;C
475;No;3;Strandberg, Miss. Ida Sofia;Female;22;0;0;9,8375;S
476;No;1;Clifford, Mr. George Quincy;Male;NA;0;0;52;S
477;No;2;Renouf, Mr. Peter Henry;Male;34;1;0;21;S
478;No;3;Braund, Mr. Lewis Richard;Male;29;1;0;7,0458;S
479;No;3;Karlsson, Mr. Nils August;Male;22;0;0;7,5208;S
480;Yes;3;Hirvonen, Miss. Hildur E;Female;2;0;1;12,2875;S
481;No;3;Goodwin, Master. Harold Victor;Male;9;5;2;46,9;S
482;No;2;Frost, Mr. Anthony Wood "Archie";Male;NA;0;0;0;S
483;No;3;Rouse, Mr. Richard Henry;Male;50;0;0;8,05;S
484;Yes;3;Turkula, Mrs. (Hedwig);Female;63;0;0;9,5875;S
485;Yes;1;Bishop, Mr. Dickinson H;Male;25;1;0;91,0792;C
486;No;3;Lefebre, Miss. Jeannie;Female;NA;3;1;25,4667;S
487;Yes;1;Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);Female;35;1;0;90;S
488;No;1;Kent, Mr. Edward Austin;Male;58;0;0;29,7;C
489;No;3;Somerton, Mr. Francis William;Male;30;0;0;8,05;S
490;Yes;3;Coutts, Master. Eden Leslie "Neville";Male;9;1;1;15,9;S
491;No;3;Hagland, Mr. Konrad Mathias Reiersen;Male;NA;1;0;19,9667;S
492;No;3;Windelov, Mr. Einar;Male;21;0;0;7,25;S
493;No;1;Molson, Mr. Harry Markland;Male;55;0;0;30,5;S
494;No;1;Artagaveytia, Mr. Ramon;Male;71;0;0;49,5042;C
495;No;3;Stanley, Mr. Edward Roland;Male;21;0;0;8,05;S
496;No;3;Yousseff, Mr. Gerious;Male;NA;0;0;14,4583;C
497;Yes;1;Eustis, Miss. Elizabeth Mussey;Female;54;1;0;78,2667;C
498;No;3;Shellard, Mr. Frederick William;Male;NA;0;0;15,1;S
499;No;1;Allison, Mrs. Hudson J C (Bessie Waldo Daniels);Female;25;1;2;151,55;S
500;No;3;Svensson, Mr. Olof;Male;24;0;0;7,7958;S
501;No;3;Calic, Mr. Petar;Male;17;0;0;8,6625;S
502;No;3;Canavan, Miss. Mary;Female;21;0;0;7,75;Q
503;No;3;O'Sullivan, Miss. Bridget Mary;Female;NA;0;0;7,6292;Q
504;No;3;Laitinen, Miss. Kristina Sofia;Female;37;0;0;9,5875;S
505;Yes;1;Maioni, Miss. Roberta;Female;16;0;0;86,5;S
506;No;1;Penasco y Castellana, Mr. Victor de Satode;Male;18;1;0;108,9;C
507;Yes;2;Quick, Mrs. Frederick Charles (Jane Richards);Female;33;0;2;26;S
508;Yes;1;Bradley, Mr. George ("George Arthur Brayton");Male;NA;0;0;26,55;S
509;No;3;Olsen, Mr. Henry Margido;Male;28;0;0;22,525;S
510;Yes;3;Lang, Mr. Fang;Male;26;0;0;56,4958;S
511;Yes;3;Daly, Mr. Eugene Patrick;Male;29;0;0;7,75;Q
512;No;3;Webber, Mr. James;Male;NA;0;0;8,05;S
513;Yes;1;McGough, Mr. James Robert;Male;36;0;0;26,2875;S
514;Yes;1;Rothschild, Mrs. Martin (Elizabeth L. Barrett);Female;54;1;0;59,4;C
515;No;3;Coleff, Mr. Satio;Male;24;0;0;7,4958;S
516;No;1;Walker, Mr. William Anderson;Male;47;0;0;34,0208;S
517;Yes;2;Lemore, Mrs. (Amelia Milley);Female;34;0;0;10,5;S
518;No;3;Ryan, Mr. Patrick;Male;NA;0;0;24,15;Q
519;Yes;2;Angle, Mrs. William A (Florence "Mary" Agnes Hughes);Female;36;1;0;26;S
520;No;3;Pavlovic, Mr. Stefo;Male;32;0;0;7,8958;S
521;Yes;1;Perreault, Miss. Anne;Female;30;0;0;93,5;S
522;No;3;Vovk, Mr. Janko;Male;22;0;0;7,8958;S
523;No;3;Lahoud, Mr. Sarkis;Male;NA;0;0;7,225;C
524;Yes;1;Hippach, Mrs. Louis Albert (Ida Sophia Fischer);Female;44;0;1;57,9792;C
525;No;3;Kassem, Mr. Fared;Male;NA;0;0;7,2292;C
526;No;3;Farrell, Mr. James;Male;40,5;0;0;7,75;Q
527;Yes;2;Ridsdale, Miss. Lucy;Female;50;0;0;10,5;S
528;No;1;Farthing, Mr. John;Male;NA;0;0;221,7792;S
529;No;3;Salonen, Mr. Johan Werner;Male;39;0;0;7,925;S
530;No;2;Hocking, Mr. Richard George;Male;23;2;1;11,5;S
531;Yes;2;Quick, Miss. Phyllis May;Female;2;1;1;26;S
532;No;3;Toufik, Mr. Nakli;Male;NA;0;0;7,2292;C
533;No;3;Elias, Mr. Joseph Jr;Male;17;1;1;7,2292;C
534;Yes;3;Peter, Mrs. Catherine (Catherine Rizk);Female;NA;0;2;22,3583;C
535;No;3;Cacic, Miss. Marija;Female;30;0;0;8,6625;S
536;Yes;2;Hart, Miss. Eva Miriam;Female;7;0;2;26,25;S
537;No;1;Butt, Major. Archibald Willingham;Male;45;0;0;26,55;S
538;Yes;1;LeRoy, Miss. Bertha;Female;30;0;0;106,425;C
539;No;3;Risien, Mr. Samuel Beard;Male;NA;0;0;14,5;S
540;Yes;1;Frolicher, Miss. Hedwig Margaritha;Female;22;0;2;49,5;C
541;Yes;1;Crosby, Miss. Harriet R;Female;36;0;2;71;S
542;No;3;Andersson, Miss. Ingeborg Constanzia;Female;9;4;2;31,275;S
543;No;3;Andersson, Miss. Sigrid Elisabeth;Female;11;4;2;31,275;S
544;Yes;2;Beane, Mr. Edward;Male;32;1;0;26;S
545;No;1;Douglas, Mr. Walter Donald;Male;50;1;0;106,425;C
546;No;1;Nicholson, Mr. Arthur Ernest;Male;64;0;0;26;S
547;Yes;2;Beane, Mrs. Edward (Ethel Clarke);Female;19;1;0;26;S
548;Yes;2;Padro y Manent, Mr. Julian;Male;NA;0;0;13,8625;C
549;No;3;Goldsmith, Mr. Frank John;Male;33;1;1;20,525;S
550;Yes;2;Davies, Master. John Morgan Jr;Male;8;1;1;36,75;S
551;Yes;1;Thayer, Mr. John Borland Jr;Male;17;0;2;110,8833;C
552;No;2;Sharp, Mr. Percival James R;Male;27;0;0;26;S
553;No;3;O'Brien, Mr. Timothy;Male;NA;0;0;7,8292;Q
554;Yes;3;Leeni, Mr. Fahim ("Philip Zenni");Male;22;0;0;7,225;C
555;Yes;3;Ohman, Miss. Velin;Female;22;0;0;7,775;S
556;No;1;Wright, Mr. George;Male;62;0;0;26,55;S
557;Yes;1;Duff Gordon, Lady. (Lucille Christiana Sutherland) ("Mrs Morgan");Female;48;1;0;39,6;C
558;No;1;Robbins, Mr. Victor;Male;NA;0;0;227,525;C
559;Yes;1;Taussig, Mrs. Emil (Tillie Mandelbaum);Female;39;1;1;79,65;S
560;Yes;3;de Messemaeker, Mrs. Guillaume Joseph (Emma);Female;36;1;0;17,4;S
561;No;3;Morrow, Mr. Thomas Rowan;Male;NA;0;0;7,75;Q
562;No;3;Sivic, Mr. Husein;Male;40;0;0;7,8958;S
563;No;2;Norman, Mr. Robert Douglas;Male;28;0;0;13,5;S
564;No;3;Simmons, Mr. John;Male;NA;0;0;8,05;S
565;No;3;Meanwell, Miss. (Marion Ogden);Female;NA;0;0;8,05;S
566;No;3;Davies, Mr. Alfred J;Male;24;2;0;24,15;S
567;No;3;Stoytcheff, Mr. Ilia;Male;19;0;0;7,8958;S
568;No;3;Palsson, Mrs. Nils (Alma Cornelia Berglund);Female;29;0;4;21,075;S
569;No;3;Doharr, Mr. Tannous;Male;NA;0;0;7,2292;C
570;Yes;3;Jonsson, Mr. Carl;Male;32;0;0;7,8542;S
571;Yes;2;Harris, Mr. George;Male;62;0;0;10,5;S
572;Yes;1;Appleton, Mrs. Edward Dale (Charlotte Lamson);Female;53;2;0;51,4792;S
573;Yes;1;Flynn, Mr. John Irwin ("Irving");Male;36;0;0;26,3875;S
574;Yes;3;Kelly, Miss. Mary;Female;NA;0;0;7,75;Q
575;No;3;Rush, Mr. Alfred George John;Male;16;0;0;8,05;S
576;No;3;Patchett, Mr. George;Male;19;0;0;14,5;S
577;Yes;2;Garside, Miss. Ethel;Female;34;0;0;13;S
578;Yes;1;Silvey, Mrs. William Baird (Alice Munger);Female;39;1;0;55,9;S
579;No;3;Caram, Mrs. Joseph (Maria Elias);Female;NA;1;0;14,4583;C
580;Yes;3;Jussila, Mr. Eiriik;Male;32;0;0;7,925;S
581;Yes;2;Christy, Miss. Julie Rachel;Female;25;1;1;30;S
582;Yes;1;Thayer, Mrs. John Borland (Marian Longstreth Morris);Female;39;1;1;110,8833;C
583;No;2;Downton, Mr. William James;Male;54;0;0;26;S
584;No;1;Ross, Mr. John Hugo;Male;36;0;0;40,125;C
585;No;3;Paulner, Mr. Uscher;Male;NA;0;0;8,7125;C
586;Yes;1;Taussig, Miss. Ruth;Female;18;0;2;79,65;S
587;No;2;Jarvis, Mr. John Denzil;Male;47;0;0;15;S
588;Yes;1;Frolicher-Stehli, Mr. Maxmillian;Male;60;1;1;79,2;C
589;No;3;Gilinski, Mr. Eliezer;Male;22;0;0;8,05;S
590;No;3;Murdlin, Mr. Joseph;Male;NA;0;0;8,05;S
591;No;3;Rintamaki, Mr. Matti;Male;35;0;0;7,125;S
592;Yes;1;Stephenson, Mrs. Walter Bertram (Martha Eustis);Female;52;1;0;78,2667;C
593;No;3;Elsbury, Mr. William James;Male;47;0;0;7,25;S
594;No;3;Bourke, Miss. Mary;Female;NA;0;2;7,75;Q
595;No;2;Chapman, Mr. John Henry;Male;37;1;0;26;S
596;No;3;Van Impe, Mr. Jean Baptiste;Male;36;1;1;24,15;S
597;Yes;2;Leitch, Miss. Jessie Wills;Female;NA;0;0;33;S
598;No;3;Johnson, Mr. Alfred;Male;49;0;0;0;S
599;No;3;Boulos, Mr. Hanna;Male;NA;0;0;7,225;C
600;Yes;1;Duff Gordon, Sir. Cosmo Edmund ("Mr Morgan");Male;49;1;0;56,9292;C
601;Yes;2;Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy);Female;24;2;1;27;S
602;No;3;Slabenoff, Mr. Petco;Male;NA;0;0;7,8958;S
603;No;1;Harrington, Mr. Charles H;Male;NA;0;0;42,4;S
604;No;3;Torber, Mr. Ernst William;Male;44;0;0;8,05;S
605;Yes;1;Homer, Mr. Harry ("Mr E Haven");Male;35;0;0;26,55;C
606;No;3;Lindell, Mr. Edvard Bengtsson;Male;36;1;0;15,55;S
607;No;3;Karaic, Mr. Milan;Male;30;0;0;7,8958;S
608;Yes;1;Daniel, Mr. Robert Williams;Male;27;0;0;30,5;S
609;Yes;2;Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue);Female;22;1;2;41,5792;C
610;Yes;1;Shutes, Miss. Elizabeth W;Female;40;0;0;153,4625;S
611;No;3;Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);Female;39;1;5;31,275;S
612;No;3;Jardin, Mr. Jose Neto;Male;NA;0;0;7,05;S
613;Yes;3;Murphy, Miss. Margaret Jane;Female;NA;1;0;15,5;Q
614;No;3;Horgan, Mr. John;Male;NA;0;0;7,75;Q
615;No;3;Brocklebank, Mr. William Alfred;Male;35;0;0;8,05;S
616;Yes;2;Herman, Miss. Alice;Female;24;1;2;65;S
617;No;3;Danbom, Mr. Ernst Gilbert;Male;34;1;1;14,4;S
618;No;3;Lobb, Mrs. William Arthur (Cordelia K Stanlick);Female;26;1;0;16,1;S
619;Yes;2;Becker, Miss. Marion Louise;Female;4;2;1;39;S
620;No;2;Gavey, Mr. Lawrence;Male;26;0;0;10,5;S
621;No;3;Yasbeck, Mr. Antoni;Male;27;1;0;14,4542;C
622;Yes;1;Kimball, Mr. Edwin Nelson Jr;Male;42;1;0;52,5542;S
623;Yes;3;Nakid, Mr. Sahid;Male;20;1;1;15,7417;C
624;No;3;Hansen, Mr. Henry Damsgaard;Male;21;0;0;7,8542;S
625;No;3;Bowen, Mr. David John "Dai";Male;21;0;0;16,1;S
626;No;1;Sutton, Mr. Frederick;Male;61;0;0;32,3208;S
627;No;2;Kirkland, Rev. Charles Leonard;Male;57;0;0;12,35;Q
628;Yes;1;Longley, Miss. Gretchen Fiske;Female;21;0;0;77,9583;S
629;No;3;Bostandyeff, Mr. Guentcho;Male;26;0;0;7,8958;S
630;No;3;O'Connell, Mr. Patrick D;Male;NA;0;0;7,7333;Q
631;Yes;1;Barkworth, Mr. Algernon Henry Wilson;Male;80;0;0;30;S
632;No;3;Lundahl, Mr. Johan Svensson;Male;51;0;0;7,0542;S
633;Yes;1;Stahelin-Maeglin, Dr. Max;Male;32;0;0;30,5;C
634;No;1;Parr, Mr. William Henry Marsh;Male;NA;0;0;0;S
635;No;3;Skoog, Miss. Mabel;Female;9;3;2;27,9;S
636;Yes;2;Davis, Miss. Mary;Female;28;0;0;13;S
637;No;3;Leinonen, Mr. Antti Gustaf;Male;32;0;0;7,925;S
638;No;2;Collyer, Mr. Harvey;Male;31;1;1;26,25;S
639;No;3;Panula, Mrs. Juha (Maria Emilia Ojala);Female;41;0;5;39,6875;S
640;No;3;Thorneycroft, Mr. Percival;Male;NA;1;0;16,1;S
641;No;3;Jensen, Mr. Hans Peder;Male;20;0;0;7,8542;S
642;Yes;1;Sagesser, Mlle. Emma;Female;24;0;0;69,3;C
643;No;3;Skoog, Miss. Margit Elizabeth;Female;2;3;2;27,9;S
644;Yes;3;Foo, Mr. Choong;Male;NA;0;0;56,4958;S
645;Yes;3;Baclini, Miss. Eugenie;Female;0,75;2;1;19,2583;C
646;Yes;1;Harper, Mr. Henry Sleeper;Male;48;1;0;76,7292;C
647;No;3;Cor, Mr. Liudevit;Male;19;0;0;7,8958;S
648;Yes;1;Simonius-Blumer, Col. Oberst Alfons;Male;56;0;0;35,5;C
649;No;3;Willey, Mr. Edward;Male;NA;0;0;7,55;S
650;Yes;3;Stanley, Miss. Amy Zillah Elsie;Female;23;0;0;7,55;S
651;No;3;Mitkoff, Mr. Mito;Male;NA;0;0;7,8958;S
652;Yes;2;Doling, Miss. Elsie;Female;18;0;1;23;S
653;No;3;Kalvik, Mr. Johannes Halvorsen;Male;21;0;0;8,4333;S
654;Yes;3;O'Leary, Miss. Hanora "Norah";Female;NA;0;0;7,8292;Q
655;No;3;Hegarty, Miss. Hanora "Nora";Female;18;0;0;6,75;Q
656;No;2;Hickman, Mr. Leonard Mark;Male;24;2;0;73,5;S
657;No;3;Radeff, Mr. Alexander;Male;NA;0;0;7,8958;S
658;No;3;Bourke, Mrs. John (Catherine);Female;32;1;1;15,5;Q
659;No;2;Eitemiller, Mr. George Floyd;Male;23;0;0;13;S
660;No;1;Newell, Mr. Arthur Webster;Male;58;0;2;113,275;C
661;Yes;1;Frauenthal, Dr. Henry William;Male;50;2;0;133,65;S
662;No;3;Badt, Mr. Mohamed;Male;40;0;0;7,225;C
663;No;1;Colley, Mr. Edward Pomeroy;Male;47;0;0;25,5875;S
664;No;3;Coleff, Mr. Peju;Male;36;0;0;7,4958;S
665;Yes;3;Lindqvist, Mr. Eino William;Male;20;1;0;7,925;S
666;No;2;Hickman, Mr. Lewis;Male;32;2;0;73,5;S
667;No;2;Butler, Mr. Reginald Fenton;Male;25;0;0;13;S
668;No;3;Rommetvedt, Mr. Knud Paust;Male;NA;0;0;7,775;S
669;No;3;Cook, Mr. Jacob;Male;43;0;0;8,05;S
670;Yes;1;Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright);Female;NA;1;0;52;S
671;Yes;2;Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford);Female;40;1;1;39;S
672;No;1;Davidson, Mr. Thornton;Male;31;1;0;52;S
673;No;2;Mitchell, Mr. Henry Michael;Male;70;0;0;10,5;S
674;Yes;2;Wilhelms, Mr. Charles;Male;31;0;0;13;S
675;No;2;Watson, Mr. Ennis Hastings;Male;NA;0;0;0;S
676;No;3;Edvardsson, Mr. Gustaf Hjalmar;Male;18;0;0;7,775;S
677;No;3;Sawyer, Mr. Frederick Charles;Male;24,5;0;0;8,05;S
678;Yes;3;Turja, Miss. Anna Sofia;Female;18;0;0;9,8417;S
679;No;3;Goodwin, Mrs. Frederick (Augusta Tyler);Female;43;1;6;46,9;S
680;Yes;1;Cardeza, Mr. Thomas Drake Martinez;Male;36;0;1;512,3292;C
681;No;3;Peters, Miss. Katie;Female;NA;0;0;8,1375;Q
682;Yes;1;Hassab, Mr. Hammad;Male;27;0;0;76,7292;C
683;No;3;Olsvigen, Mr. Thor Anderson;Male;20;0;0;9,225;S
684;No;3;Goodwin, Mr. Charles Edward;Male;14;5;2;46,9;S
685;No;2;Brown, Mr. Thomas William Solomon;Male;60;1;1;39;S
686;No;2;Laroche, Mr. Joseph Philippe Lemercier;Male;25;1;2;41,5792;C
687;No;3;Panula, Mr. Jaako Arnold;Male;14;4;1;39,6875;S
688;No;3;Dakic, Mr. Branko;Male;19;0;0;10,1708;S
689;No;3;Fischer, Mr. Eberhard Thelander;Male;18;0;0;7,7958;S
690;Yes;1;Madill, Miss. Georgette Alexandra;Female;15;0;1;211,3375;S
691;Yes;1;Dick, Mr. Albert Adrian;Male;31;1;0;57;S
692;Yes;3;Karun, Miss. Manca;Female;4;0;1;13,4167;C
693;Yes;3;Lam, Mr. Ali;Male;NA;0;0;56,4958;S
694;No;3;Saad, Mr. Khalil;Male;25;0;0;7,225;C
695;No;1;Weir, Col. John;Male;60;0;0;26,55;S
696;No;2;Chapman, Mr. Charles Henry;Male;52;0;0;13,5;S
697;No;3;Kelly, Mr. James;Male;44;0;0;8,05;S
698;Yes;3;Mullens, Miss. Katherine "Katie";Female;NA;0;0;7,7333;Q
699;No;1;Thayer, Mr. John Borland;Male;49;1;1;110,8833;C
700;No;3;Humblen, Mr. Adolf Mathias Nicolai Olsen;Male;42;0;0;7,65;S
701;Yes;1;Astor, Mrs. John Jacob (Madeleine Talmadge Force);Female;18;1;0;227,525;C
702;Yes;1;Silverthorne, Mr. Spencer Victor;Male;35;0;0;26,2875;S
703;No;3;Barbara, Miss. Saiide;Female;18;0;1;14,4542;C
